Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link
The Infographics Show,14800000,5394,6278607105,64213,2482,485,2025-02-11T00:11:00Z,https://www.youtube.com/watch?v=w2SYMSemBI0&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,562089,17874,2851,2025-02-09T15:11:00Z,https://www.youtube.com/watch?v=beWI6TOjXG4&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,43791,505,29,2025-02-09T03:11:00Z,https://www.youtube.com/watch?v=XVS3vFs7sBU&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,82292,2009,219,2025-02-08T15:11:00Z,https://www.youtube.com/watch?v=p8YmQPzknNg&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,185774,5922,835,2025-02-08T00:37:00Z,https://www.youtube.com/watch?v=F9EWqjuWlwQ&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,364802,7667,747,2025-02-07T19:11:00Z,https://www.youtube.com/watch?v=hsMEyeGq8rY&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,468703,9560,687,2025-02-07T00:11:00Z,https://www.youtube.com/watch?v=GCGwkgUW2sc&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,143443,3220,1074,2025-02-06T19:11:00Z,https://www.youtube.com/watch?v=SsbZcM0UcZg&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,309168,4404,379,2025-02-05T19:11:00Z,https://www.youtube.com/watch?v=2bdTSw8vico&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,1083953,27391,6925,2025-02-05T00:11:00Z,https://www.youtube.com/watch?v=NoAHi_mzzBQ&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,253379,4569,233,2025-02-03T19:11:00Z,https://www.youtube.com/watch?v=D5PE6k9TOpM&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,381404,6010,506,2025-02-02T21:11:00Z,https://www.youtube.com/watch?v=EsF-_VO62ZE&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,65303,1559,263,2025-02-02T15:11:00Z,https://www.youtube.com/watch?v=LeuSethjniE&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,95619,589,44,2025-02-02T03:11:00Z,https://www.youtube.com/watch?v=RW7fcF1NPHY&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,85793,2264,182,2025-02-01T15:11:00Z,https://www.youtube.com/watch?v=dQKeaIUAJt4&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,287565,5344,680,2025-01-25T21:11:00Z,https://www.youtube.com/watch?v=sQpH29KEuNg&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,221588,4358,599,2025-01-22T00:11:00Z,https://www.youtube.com/watch?v=IA6EzwPmBg0&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,261006,4764,217,2025-01-15T19:11:00Z,https://www.youtube.com/watch?v=madFr3AQFP4&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,195891,3926,302,2025-01-09T21:11:00Z,https://www.youtube.com/watch?v=h2Gk5vYTBDY&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,140987,1679,150,2025-01-04T03:11:00Z,https://www.youtube.com/watch?v=9jGTMb_JIVc&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,185043,3761,168,2025-01-10T19:11:00Z,https://www.youtube.com/watch?v=5g9kzwsPXF8&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,177783,4525,573,2025-01-31T20:11:00Z,https://www.youtube.com/watch?v=h9vV20Bh4cY&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,242992,5636,312,2025-01-30T19:11:00Z,https://www.youtube.com/watch?v=pB6nlxuytLU&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,58578,1696,83,2025-01-30T18:02:16Z,https://www.youtube.com/watch?v=LTu6JMvWBLQ&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5394,6278607105,333678,6264,299,2025-01-29T19:11:00Z,https://www.youtube.com/watch?v=dq2ygaBLI7c&ab_channel=TheInfographicsShow
AsapSCIENCE,10700000,494,1980788939,97203,6910,460,2025-02-06T16:30:58Z,https://www.youtube.com/watch?v=wQDWQDWHFx0&ab_channel=AsapSCIENCE
AsapSCIENCE,10700000,494,1980788939,287713,9808,1164,2025-01-29T17:00:22Z,https://www.youtube.com/watch?v=FAVKyXv9W_4&ab_channel=AsapSCIENCE
AsapSCIENCE,10700000,494,1980788939,216759,12083,913,2025-01-16T17:00:18Z,https://www.youtube.com/watch?v=CLGPSuwrtuA&ab_channel=AsapSCIENCE
National Geographic,24200000,10557,6313286711,31858,1169,54,2025-02-10T16:00:27Z,https://www.youtube.com/watch?v=JDIAcRSPbnk&ab_channel=NationalGeographic
