Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link
The Infographics Show,14800000,5354,6251451295,14149,936,225,2025-02-11T00:11:00Z,https://www.youtube.com/watch?v=w2SYMSemBI0&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5354,6251451295,267615,9021,1621,2025-02-09T15:11:00Z,https://www.youtube.com/watch?v=beWI6TOjXG4&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5354,6251451295,25730,338,26,2025-02-09T03:11:00Z,https://www.youtube.com/watch?v=XVS3vFs7sBU&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5354,6251451295,67402,1721,193,2025-02-08T15:11:00Z,https://www.youtube.com/watch?v=p8YmQPzknNg&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5354,6251451295,90882,3079,442,2025-02-08T00:37:00Z,https://www.youtube.com/watch?v=F9EWqjuWlwQ&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5354,6251451295,204123,4553,400,2025-02-07T19:11:00Z,https://www.youtube.com/watch?v=hsMEyeGq8rY&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5354,6251451295,325525,6690,545,2025-02-07T00:11:00Z,https://www.youtube.com/watch?v=GCGwkgUW2sc&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5354,6251451295,119557,2759,969,2025-02-06T19:11:00Z,https://www.youtube.com/watch?v=SsbZcM0UcZg&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5354,6251451295,230897,3215,284,2025-02-05T19:11:00Z,https://www.youtube.com/watch?v=2bdTSw8vico&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5354,6251451295,664147,17800,4186,2025-02-05T00:11:00Z,https://www.youtube.com/watch?v=NoAHi_mzzBQ&ab_channel=TheInfographicsShow
The Infographics Show,14800000,5354,6251451295,228580,4227,218,2025-02-03T19:11:00Z,https://www.youtube.com/watch?v=D5PE6k9TOpM&ab_channel=TheInfographicsShow
