,Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link,time_since_posting,Sub/NumberVids,Total Views/Total Videos,View/Sub
0,The Infographics Show,14800000,5354,6251451295,14149,936,225,2025-02-11 00:11:00,https://www.youtube.com/watch?v=w2SYMSemBI0&ab_channel=TheInfographicsShow,0,2764.2883825177437,1167622.580313784,0.0009560135135135
1,The Infographics Show,14800000,5354,6251451295,267615,9021,1621,2025-02-09 15:11:00,https://www.youtube.com/watch?v=beWI6TOjXG4&ab_channel=TheInfographicsShow,1,2764.2883825177437,1167622.580313784,0.0180820945945945
2,The Infographics Show,14800000,5354,6251451295,25730,338,26,2025-02-09 03:11:00,https://www.youtube.com/watch?v=XVS3vFs7sBU&ab_channel=TheInfographicsShow,2,2764.2883825177437,1167622.580313784,0.0017385135135135
3,The Infographics Show,14800000,5354,6251451295,67402,1721,193,2025-02-08 15:11:00,https://www.youtube.com/watch?v=p8YmQPzknNg&ab_channel=TheInfographicsShow,2,2764.2883825177437,1167622.580313784,0.0045541891891891
4,The Infographics Show,14800000,5354,6251451295,90882,3079,442,2025-02-08 00:37:00,https://www.youtube.com/watch?v=F9EWqjuWlwQ&ab_channel=TheInfographicsShow,3,2764.2883825177437,1167622.580313784,0.0061406756756756
5,The Infographics Show,14800000,5354,6251451295,204123,4553,400,2025-02-07 19:11:00,https://www.youtube.com/watch?v=hsMEyeGq8rY&ab_channel=TheInfographicsShow,3,2764.2883825177437,1167622.580313784,0.0137920945945945
6,The Infographics Show,14800000,5354,6251451295,325525,6690,545,2025-02-07 00:11:00,https://www.youtube.com/watch?v=GCGwkgUW2sc&ab_channel=TheInfographicsShow,4,2764.2883825177437,1167622.580313784,0.0219949324324324
7,The Infographics Show,14800000,5354,6251451295,119557,2759,969,2025-02-06 19:11:00,https://www.youtube.com/watch?v=SsbZcM0UcZg&ab_channel=TheInfographicsShow,4,2764.2883825177437,1167622.580313784,0.0080781756756756
8,The Infographics Show,14800000,5354,6251451295,230897,3215,284,2025-02-05 19:11:00,https://www.youtube.com/watch?v=2bdTSw8vico&ab_channel=TheInfographicsShow,5,2764.2883825177437,1167622.580313784,0.0156011486486486
9,The Infographics Show,14800000,5354,6251451295,664147,17800,4186,2025-02-05 00:11:00,https://www.youtube.com/watch?v=NoAHi_mzzBQ&ab_channel=TheInfographicsShow,6,2764.2883825177437,1167622.580313784,0.0448747972972973
10,The Infographics Show,14800000,5354,6251451295,228580,4227,218,2025-02-03 19:11:00,https://www.youtube.com/watch?v=D5PE6k9TOpM&ab_channel=TheInfographicsShow,7,2764.2883825177437,1167622.580313784,0.0154445945945945
11,The Infographics Show,14800000,5354,6251451295,338025,5371,479,2025-02-02 21:11:00,https://www.youtube.com/watch?v=EsF-_VO62ZE&ab_channel=TheInfographicsShow,8,2764.2883825177437,1167622.580313784,0.022839527027027
12,The Infographics Show,14800000,5354,6251451295,59514,1467,246,2025-02-02 15:11:00,https://www.youtube.com/watch?v=LeuSethjniE&ab_channel=TheInfographicsShow,8,2764.2883825177437,1167622.580313784,0.0040212162162162
13,The Infographics Show,14800000,5354,6251451295,63842,436,42,2025-02-02 03:11:00,https://www.youtube.com/watch?v=RW7fcF1NPHY&ab_channel=TheInfographicsShow,9,2764.2883825177437,1167622.580313784,0.0043136486486486
14,The Infographics Show,14800000,5354,6251451295,80872,2164,184,2025-02-01 15:11:00,https://www.youtube.com/watch?v=dQKeaIUAJt4&ab_channel=TheInfographicsShow,9,2764.2883825177437,1167622.580313784,0.0054643243243243
15,The Infographics Show,14800000,5354,6251451295,260806,5031,653,2025-01-25 21:11:00,https://www.youtube.com/watch?v=sQpH29KEuNg&ab_channel=TheInfographicsShow,16,2764.2883825177437,1167622.580313784,0.017622027027027
16,The Infographics Show,14800000,5354,6251451295,217222,4289,591,2025-01-22 00:11:00,https://www.youtube.com/watch?v=IA6EzwPmBg0&ab_channel=TheInfographicsShow,20,2764.2883825177437,1167622.580313784,0.0146771621621621
17,The Infographics Show,14800000,5354,6251451295,255363,4679,211,2025-01-15 19:11:00,https://www.youtube.com/watch?v=madFr3AQFP4&ab_channel=TheInfographicsShow,26,2764.2883825177437,1167622.580313784,0.0172542567567567
18,The Infographics Show,14800000,5354,6251451295,183876,3668,279,2025-01-09 21:11:00,https://www.youtube.com/watch?v=h2Gk5vYTBDY&ab_channel=TheInfographicsShow,32,2764.2883825177437,1167622.580313784,0.012424054054054
19,The Infographics Show,14800000,5354,6251451295,133724,1616,149,2025-01-04 03:11:00,https://www.youtube.com/watch?v=9jGTMb_JIVc&ab_channel=TheInfographicsShow,38,2764.2883825177437,1167622.580313784,0.0090354054054054
20,The Infographics Show,14800000,5354,6251451295,178055,3645,163,2025-01-10 19:11:00,https://www.youtube.com/watch?v=5g9kzwsPXF8&ab_channel=TheInfographicsShow,31,2764.2883825177437,1167622.580313784,0.0120307432432432
21,The Infographics Show,14800000,5354,6251451295,167949,4334,548,2025-01-31 20:11:00,https://www.youtube.com/watch?v=h9vV20Bh4cY&ab_channel=TheInfographicsShow,10,2764.2883825177437,1167622.580313784,0.0113479054054054
22,The Infographics Show,14800000,5354,6251451295,133849,3729,191,2025-01-30 19:11:00,https://www.youtube.com/watch?v=pB6nlxuytLU&ab_channel=TheInfographicsShow,11,2764.2883825177437,1167622.580313784,0.0090438513513513
23,The Infographics Show,14800000,5354,6251451295,50706,1506,81,2025-01-30 18:02:16,https://www.youtube.com/watch?v=LTu6JMvWBLQ&ab_channel=TheInfographicsShow,11,2764.2883825177437,1167622.580313784,0.003426081081081
24,The Infographics Show,14800000,5354,6251451295,287885,5497,278,2025-01-29 19:11:00,https://www.youtube.com/watch?v=dq2ygaBLI7c&ab_channel=TheInfographicsShow,12,2764.2883825177437,1167622.580313784,0.0194516891891891
25,AsapSCIENCE,10700000,494,1977814100,79118,5967,425,2025-02-06 16:30:58,https://www.youtube.com/watch?v=wQDWQDWHFx0&ab_channel=AsapSCIENCE,4,21659.91902834008,4003672.267206478,0.0073942056074766
26,AsapSCIENCE,10700000,494,1977814100,232129,8733,1004,2025-01-29 17:00:22,https://www.youtube.com/watch?v=FAVKyXv9W_4&ab_channel=AsapSCIENCE,12,21659.91902834008,4003672.267206478,0.0216942990654205
27,AsapSCIENCE,10700000,494,1977814100,207867,11834,897,2025-01-16 17:00:18,https://www.youtube.com/watch?v=CLGPSuwrtuA&ab_channel=AsapSCIENCE,25,21659.91902834008,4003672.267206478,0.0194268224299065
28,National Geographic,24200000,10518,6280202858,9062,501,30,2025-02-10 16:00:27,https://www.youtube.com/watch?v=JDIAcRSPbnk&ab_channel=NationalGeographic,0,2300.817645940293,597090.9733789694,0.0003744628099173
29,National Geographic,24200000,10518,6280202858,134554,2365,288,2025-02-09 16:00:41,https://www.youtube.com/watch?v=fauq7fm2xIE&ab_channel=NationalGeographic,1,2300.817645940293,597090.9733789694,0.005560082644628
30,National Geographic,24200000,10518,6280202858,208114,2440,196,2025-02-08 16:00:44,https://www.youtube.com/watch?v=jAf4_7jIhls&ab_channel=NationalGeographic,2,2300.817645940293,597090.9733789694,0.0085997520661157
31,National Geographic,24200000,10518,6280202858,45414,1237,171,2025-02-06 16:00:12,https://www.youtube.com/watch?v=DWja0NX7jNQ&ab_channel=NationalGeographic,4,2300.817645940293,597090.9733789694,0.0018766115702479
32,National Geographic,24200000,10518,6280202858,200668,2277,216,2025-02-02 16:00:32,https://www.youtube.com/watch?v=SztVA7ZF8Kk&ab_channel=NationalGeographic,8,2300.817645940293,597090.9733789694,0.0082920661157024
33,National Geographic,24200000,10518,6280202858,717878,5311,322,2025-02-01 16:00:33,https://www.youtube.com/watch?v=W0gUYsICueI&ab_channel=NationalGeographic,9,2300.817645940293,597090.9733789694,0.0296643801652892
34,National Geographic,24200000,10518,6280202858,223758,2941,152,2025-01-30 20:00:16,https://www.youtube.com/watch?v=X_dVQErdQvk&ab_channel=NationalGeographic,11,2300.817645940293,597090.9733789694,0.0092461983471074
35,National Geographic,24200000,10518,6280202858,214358,2979,286,2025-01-30 16:00:57,https://www.youtube.com/watch?v=zD_FVxsckb0&ab_channel=NationalGeographic,11,2300.817645940293,597090.9733789694,0.0088577685950413
36,National Geographic,24200000,10518,6280202858,248727,4418,940,2025-01-25 16:00:13,https://www.youtube.com/watch?v=8DMmkp_F25Y&ab_channel=NationalGeographic,16,2300.817645940293,597090.9733789694,0.0102779752066115
37,National Geographic,24200000,10518,6280202858,54547,1014,38,2025-01-22 17:59:57,https://www.youtube.com/watch?v=WREUVldK2M8&ab_channel=NationalGeographic,19,2300.817645940293,597090.9733789694,0.0022540082644628
38,National Geographic,24200000,10518,6280202858,1170339,7544,510,2025-01-19 16:00:05,https://www.youtube.com/watch?v=4DAuTMsOoKw&ab_channel=NationalGeographic,22,2300.817645940293,597090.9733789694,0.0483611157024793
39,National Geographic,24200000,10518,6280202858,147901,1959,103,2025-01-16 16:01:00,https://www.youtube.com/watch?v=o7Esv2MEQLQ&ab_channel=NationalGeographic,25,2300.817645940293,597090.9733789694,0.0061116115702479
40,National Geographic,24200000,10518,6280202858,12809,313,12,2025-01-14 23:14:12,https://www.youtube.com/watch?v=VNXcSsqWO-I&ab_channel=NationalGeographic,27,2300.817645940293,597090.9733789694,0.0005292975206611
41,National Geographic,24200000,10518,6280202858,172236,769,26,2025-01-14 15:00:08,https://www.youtube.com/watch?v=342SPkLqeh0&ab_channel=NationalGeographic,27,2300.817645940293,597090.9733789694,0.0071171900826446
42,National Geographic,24200000,10518,6280202858,1374839,14230,244,2025-01-11 16:00:14,https://www.youtube.com/watch?v=Dpu3XoY3wQw&ab_channel=NationalGeographic,30,2300.817645940293,597090.9733789694,0.0568115289256198
43,National Geographic,24200000,10518,6280202858,457047,5889,423,2025-01-12 16:00:42,https://www.youtube.com/watch?v=nZ5VWmOxZwU&ab_channel=NationalGeographic,29,2300.817645940293,597090.9733789694,0.0188862396694214
44,Neso Academy,2810000,2784,657156747,947,30,0,2025-02-10 13:30:31,https://www.youtube.com/watch?v=ZfDBINXhWXg&ab_channel=NesoAcademy,0,1009.33908045977,236047.68211206896,0.0003370106761565
45,Neso Academy,2810000,2784,657156747,1442,20,3,2025-02-08 13:30:20,https://www.youtube.com/watch?v=bp8DsBI6Oik&ab_channel=NesoAcademy,2,1009.33908045977,236047.68211206896,0.0005131672597864
46,Neso Academy,2810000,2784,657156747,1787,31,0,2025-02-06 13:30:14,https://www.youtube.com/watch?v=MR0PK0qkCD8&ab_channel=NesoAcademy,4,1009.33908045977,236047.68211206896,0.0006359430604982
47,Neso Academy,2810000,2784,657156747,2064,42,6,2025-02-03 13:30:12,https://www.youtube.com/watch?v=KqBiGOdce74&ab_channel=NesoAcademy,7,1009.33908045977,236047.68211206896,0.0007345195729537
48,Neso Academy,2810000,2784,657156747,2144,43,7,2025-02-01 13:30:00,https://www.youtube.com/watch?v=-8bYtApJNos&ab_channel=NesoAcademy,9,1009.33908045977,236047.68211206896,0.0007629893238434
49,Neso Academy,2810000,2784,657156747,2187,32,8,2025-01-30 14:00:30,https://www.youtube.com/watch?v=Jtai4ogSsB4&ab_channel=NesoAcademy,11,1009.33908045977,236047.68211206896,0.0007782918149466
50,Neso Academy,2810000,2784,657156747,2424,48,5,2025-01-28 13:30:07,https://www.youtube.com/watch?v=CSX0OlOYWps&ab_channel=NesoAcademy,13,1009.33908045977,236047.68211206896,0.0008626334519572
51,Neso Academy,2810000,2784,657156747,4141,89,18,2025-01-26 13:30:31,https://www.youtube.com/watch?v=Zqo-qNNMmdA&ab_channel=NesoAcademy,15,1009.33908045977,236047.68211206896,0.001473665480427
52,Neso Academy,2810000,2784,657156747,1598,36,8,2025-01-24 14:15:04,https://www.youtube.com/watch?v=x9o4NuBz8mM&ab_channel=NesoAcademy,17,1009.33908045977,236047.68211206896,0.0005686832740213
53,Neso Academy,2810000,2784,657156747,1868,25,9,2025-01-22 13:30:21,https://www.youtube.com/watch?v=UT4ML93lKIs&ab_channel=NesoAcademy,19,1009.33908045977,236047.68211206896,0.000664768683274
54,Neso Academy,2810000,2784,657156747,2413,28,2,2025-01-20 13:30:21,https://www.youtube.com/watch?v=LxEQRIBR9IM&ab_channel=NesoAcademy,21,1009.33908045977,236047.68211206896,0.0008587188612099
55,Neso Academy,2810000,2784,657156747,2824,40,1,2025-01-18 14:15:01,https://www.youtube.com/watch?v=6tmq2I3gEDU&ab_channel=NesoAcademy,23,1009.33908045977,236047.68211206896,0.0010049822064056
56,Neso Academy,2810000,2784,657156747,2642,53,0,2025-01-16 13:30:38,https://www.youtube.com/watch?v=uujDdvDQsaE&ab_channel=NesoAcademy,25,1009.33908045977,236047.68211206896,0.0009402135231316
57,Neso Academy,2810000,2784,657156747,3270,77,10,2025-01-14 13:30:30,https://www.youtube.com/watch?v=Zp6Eu-eWpEE&ab_channel=NesoAcademy,27,1009.33908045977,236047.68211206896,0.0011637010676156
58,Neso Academy,2810000,2784,657156747,4135,67,4,2025-01-12 13:30:32,https://www.youtube.com/watch?v=lhsT7a1akao&ab_channel=NesoAcademy,29,1009.33908045977,236047.68211206896,0.0014715302491103
59,DiodeGoneWild,236000,564,52918815,53647,3930,364,2025-01-29 10:59:05,https://www.youtube.com/watch?v=hXTQP4eFmf0&ab_channel=DiodeGoneWild,13,418.4397163120568,93827.68617021276,0.2273177966101695
60,DiodeGoneWild,236000,564,52918815,14863,1288,95,2025-01-22 14:24:14,https://www.youtube.com/watch?v=M00cF6i1N-w&ab_channel=DiodeGoneWild,19,418.4397163120568,93827.68617021276,0.062978813559322
61,DiodeGoneWild,236000,564,52918815,20508,1760,97,2025-01-17 15:08:52,https://www.youtube.com/watch?v=M4XWi0Diazo&ab_channel=DiodeGoneWild,24,418.4397163120568,93827.68617021276,0.0868983050847457
62,Science Channel,5040000,2455,1279697013,6755,250,8,2025-02-08 16:00:00,https://www.youtube.com/watch?v=-JgNSFGA84Q&ab_channel=ScienceChannel,2,2052.953156822811,521261.5124236253,0.0013402777777777
63,Science Channel,5040000,2455,1279697013,30844,564,14,2025-02-01 16:01:03,https://www.youtube.com/watch?v=vNxAGznAjfs&ab_channel=ScienceChannel,9,2052.953156822811,521261.5124236253,0.0061198412698412
64,Science Channel,5040000,2455,1279697013,34239,525,17,2025-02-01 16:00:32,https://www.youtube.com/watch?v=SnD3LzXCeSw&ab_channel=ScienceChannel,9,2052.953156822811,521261.5124236253,0.0067934523809523
65,Science Channel,5040000,2455,1279697013,17093,406,11,2025-01-30 16:00:06,https://www.youtube.com/watch?v=6dwuD7ITwt8&ab_channel=ScienceChannel,11,2052.953156822811,521261.5124236253,0.0033914682539682
66,Science Channel,5040000,2455,1279697013,11751,423,48,2025-01-29 23:00:33,https://www.youtube.com/watch?v=RB1iJufG9iU&ab_channel=ScienceChannel,12,2052.953156822811,521261.5124236253,0.0023315476190476
67,Science Channel,5040000,2455,1279697013,23885,520,20,2025-01-25 16:00:50,https://www.youtube.com/watch?v=tolnNAZLtwI&ab_channel=ScienceChannel,16,2052.953156822811,521261.5124236253,0.0047390873015873
68,Science Channel,5040000,2455,1279697013,93985,3163,112,2025-01-22 23:00:47,https://www.youtube.com/watch?v=lZdoUgNTE8E&ab_channel=ScienceChannel,19,2052.953156822811,521261.5124236253,0.0186478174603174
69,Science Channel,5040000,2455,1279697013,15331,327,12,2025-01-22 16:00:56,https://www.youtube.com/watch?v=oO_2HIWRkiU&ab_channel=ScienceChannel,19,2052.953156822811,521261.5124236253,0.003041865079365
70,Science Channel,5040000,2455,1279697013,20544,372,18,2025-01-21 20:00:02,https://www.youtube.com/watch?v=ayfpSPjUzZY&ab_channel=ScienceChannel,20,2052.953156822811,521261.5124236253,0.0040761904761904
71,Science Channel,5040000,2455,1279697013,150997,4126,203,2025-01-15 16:00:25,https://www.youtube.com/watch?v=NITLH13auIQ&ab_channel=ScienceChannel,26,2052.953156822811,521261.5124236253,0.0299597222222222
72,Science Channel,5040000,2455,1279697013,67888,1122,98,2025-01-14 23:00:00,https://www.youtube.com/watch?v=a1uB6vDS-nc&ab_channel=ScienceChannel,27,2052.953156822811,521261.5124236253,0.0134698412698412
73,Science Channel,5040000,2455,1279697013,21125,375,8,2025-01-13 20:00:20,https://www.youtube.com/watch?v=jeRn5ngQSok&ab_channel=ScienceChannel,28,2052.953156822811,521261.5124236253,0.0041914682539682
74,Chemistry in a Nutshell,4500,73,381135,45,4,0,2025-02-05 13:56:44,https://www.youtube.com/watch?v=rHJ-O_xGgk0&ab_channel=ChemistryinaNutshell,5,61.64383561643836,5221.027397260274,0.01
75,CGP Grey,6630000,192,1113977705,1777449,123994,139,2025-01-28 21:45:11,https://www.youtube.com/watch?v=1K5oDtVAYzk&ab_channel=CGPGrey,13,34531.25,5801967.213541667,0.2680918552036199
76,CGP Grey,6630000,192,1113977705,259862,12542,28,2025-01-28 21:30:08,https://www.youtube.com/watch?v=lk4lBV5wgGM&ab_channel=CGPGrey,13,34531.25,5801967.213541667,0.0391948717948717
77,Khan Academy,8790000,8619,2149402004,4579,172,0,2025-02-05 08:00:48,https://www.youtube.com/watch?v=thXilnp5UNQ&ab_channel=KhanAcademy,6,1019.8398886181692,249379.51084812623,0.0005209328782707
78,Khan Academy,8790000,8619,2149402004,3780,105,0,2025-02-03 17:58:51,https://www.youtube.com/watch?v=NcrsPIv6NdI&ab_channel=KhanAcademy,7,1019.8398886181692,249379.51084812623,0.0004300341296928
79,Khan Academy,8790000,8619,2149402004,6018,160,0,2025-01-29 08:00:03,https://www.youtube.com/watch?v=36nlbUdRvUM&ab_channel=KhanAcademy,13,1019.8398886181692,249379.51084812623,0.0006846416382252
80,Khan Academy,8790000,8619,2149402004,10202,271,0,2025-01-22 08:00:15,https://www.youtube.com/watch?v=Jg3Fo4WD8XE&ab_channel=KhanAcademy,20,1019.8398886181692,249379.51084812623,0.0011606370875995
81,Khan Academy,8790000,8619,2149402004,9150,197,10,2025-01-17 17:46:30,https://www.youtube.com/watch?v=t4ODg51XNYk&ab_channel=KhanAcademy,24,1019.8398886181692,249379.51084812623,0.0010409556313993
82,Khan Academy,8790000,8619,2149402004,5676,91,15,2025-01-15 16:23:47,https://www.youtube.com/watch?v=kFmtXeKPId4&ab_channel=KhanAcademy,26,1019.8398886181692,249379.51084812623,0.0006457337883959
83,Khan Academy,8790000,8619,2149402004,1857,29,0,2025-01-15 13:24:11,https://www.youtube.com/watch?v=fS3TOHnUwdw&ab_channel=KhanAcademy,26,1019.8398886181692,249379.51084812623,0.0002112627986348
84,Khan Academy,8790000,8619,2149402004,1714,32,0,2025-01-15 13:23:18,https://www.youtube.com/watch?v=pq36jdgmuzw&ab_channel=KhanAcademy,26,1019.8398886181692,249379.51084812623,0.0001949943117178
85,Khan Academy,8790000,8619,2149402004,3322,59,0,2025-01-15 13:23:15,https://www.youtube.com/watch?v=hVlFzfHc3t0&ab_channel=KhanAcademy,26,1019.8398886181692,249379.51084812623,0.0003779294653014
86,Khan Academy,8790000,8619,2149402004,1463,30,0,2025-01-15 13:22:44,https://www.youtube.com/watch?v=N8P_IjvzGPY&ab_channel=KhanAcademy,26,1019.8398886181692,249379.51084812623,0.0001664391353811
87,Khan Academy,8790000,8619,2149402004,4472,115,0,2025-01-15 08:00:28,https://www.youtube.com/watch?v=KyBgxe-rU48&ab_channel=KhanAcademy,27,1019.8398886181692,249379.51084812623,0.0005087599544937
88,Khan Academy,8790000,8619,2149402004,2778,48,4,2025-01-14 22:38:51,https://www.youtube.com/watch?v=ClwmqcEewRc&ab_channel=KhanAcademy,27,1019.8398886181692,249379.51084812623,0.0003160409556313
89,Khan Academy,8790000,8619,2149402004,1659,26,0,2025-01-14 22:06:28,https://www.youtube.com/watch?v=Oa0u7ZsRhOw&ab_channel=KhanAcademy,27,1019.8398886181692,249379.51084812623,0.0001887372013651
90,Khan Academy,8790000,8619,2149402004,1697,40,0,2025-01-14 22:06:24,https://www.youtube.com/watch?v=ikw1-ZWf8qw&ab_channel=KhanAcademy,27,1019.8398886181692,249379.51084812623,0.0001930602957906
91,Khan Academy,8790000,8619,2149402004,1817,46,0,2025-01-14 22:03:14,https://www.youtube.com/watch?v=xUbgRHeCOyY&ab_channel=KhanAcademy,27,1019.8398886181692,249379.51084812623,0.0002067121729237
92,Khan Academy,8790000,8619,2149402004,1065,18,0,2025-01-14 21:53:43,https://www.youtube.com/watch?v=K-JL39rcJlA&ab_channel=KhanAcademy,27,1019.8398886181692,249379.51084812623,0.0001211604095563
93,Khan Academy,8790000,8619,2149402004,1146,20,1,2025-01-14 21:52:43,https://www.youtube.com/watch?v=uwjKRjIfxhE&ab_channel=KhanAcademy,27,1019.8398886181692,249379.51084812623,0.0001303754266211
94,Khan Academy,8790000,8619,2149402004,1208,20,1,2025-01-14 21:21:52,https://www.youtube.com/watch?v=L3eaXsALPAM&ab_channel=KhanAcademy,27,1019.8398886181692,249379.51084812623,0.0001374288964732
95,Khan Academy,8790000,8619,2149402004,1296,25,0,2025-01-14 21:10:25,https://www.youtube.com/watch?v=BjH-5npLi6s&ab_channel=KhanAcademy,27,1019.8398886181692,249379.51084812623,0.0001474402730375
96,Khan Academy,8790000,8619,2149402004,2868,101,5,2025-01-14 21:05:50,https://www.youtube.com/watch?v=K_3u0e3XwCQ&ab_channel=KhanAcademy,27,1019.8398886181692,249379.51084812623,0.0003262798634812
