,Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link,time_since_posting
0,The Infographics Show,14800000,5394,6278607105,64213,2482,485,2025-02-11 00:11:00,https://www.youtube.com/watch?v=w2SYMSemBI0&ab_channel=TheInfographicsShow,13
1,The Infographics Show,14800000,5394,6278607105,562089,17874,2851,2025-02-09 15:11:00,https://www.youtube.com/watch?v=beWI6TOjXG4&ab_channel=TheInfographicsShow,15
2,The Infographics Show,14800000,5394,6278607105,43791,505,29,2025-02-09 03:11:00,https://www.youtube.com/watch?v=XVS3vFs7sBU&ab_channel=TheInfographicsShow,15
3,The Infographics Show,14800000,5394,6278607105,82292,2009,219,2025-02-08 15:11:00,https://www.youtube.com/watch?v=p8YmQPzknNg&ab_channel=TheInfographicsShow,16
4,The Infographics Show,14800000,5394,6278607105,185774,5922,835,2025-02-08 00:37:00,https://www.youtube.com/watch?v=F9EWqjuWlwQ&ab_channel=TheInfographicsShow,16
5,The Infographics Show,14800000,5394,6278607105,364802,7667,747,2025-02-07 19:11:00,https://www.youtube.com/watch?v=hsMEyeGq8rY&ab_channel=TheInfographicsShow,17
6,The Infographics Show,14800000,5394,6278607105,468703,9560,687,2025-02-07 00:11:00,https://www.youtube.com/watch?v=GCGwkgUW2sc&ab_channel=TheInfographicsShow,17
7,The Infographics Show,14800000,5394,6278607105,143443,3220,1074,2025-02-06 19:11:00,https://www.youtube.com/watch?v=SsbZcM0UcZg&ab_channel=TheInfographicsShow,18
8,The Infographics Show,14800000,5394,6278607105,309168,4404,379,2025-02-05 19:11:00,https://www.youtube.com/watch?v=2bdTSw8vico&ab_channel=TheInfographicsShow,19
9,The Infographics Show,14800000,5394,6278607105,1083953,27391,6925,2025-02-05 00:11:00,https://www.youtube.com/watch?v=NoAHi_mzzBQ&ab_channel=TheInfographicsShow,19
10,The Infographics Show,14800000,5394,6278607105,253379,4569,233,2025-02-03 19:11:00,https://www.youtube.com/watch?v=D5PE6k9TOpM&ab_channel=TheInfographicsShow,21
11,The Infographics Show,14800000,5394,6278607105,381404,6010,506,2025-02-02 21:11:00,https://www.youtube.com/watch?v=EsF-_VO62ZE&ab_channel=TheInfographicsShow,22
12,The Infographics Show,14800000,5394,6278607105,65303,1559,263,2025-02-02 15:11:00,https://www.youtube.com/watch?v=LeuSethjniE&ab_channel=TheInfographicsShow,22
13,The Infographics Show,14800000,5394,6278607105,95619,589,44,2025-02-02 03:11:00,https://www.youtube.com/watch?v=RW7fcF1NPHY&ab_channel=TheInfographicsShow,22
14,The Infographics Show,14800000,5394,6278607105,85793,2264,182,2025-02-01 15:11:00,https://www.youtube.com/watch?v=dQKeaIUAJt4&ab_channel=TheInfographicsShow,23
15,The Infographics Show,14800000,5394,6278607105,287565,5344,680,2025-01-25 21:11:00,https://www.youtube.com/watch?v=sQpH29KEuNg&ab_channel=TheInfographicsShow,30
16,The Infographics Show,14800000,5394,6278607105,221588,4358,599,2025-01-22 00:11:00,https://www.youtube.com/watch?v=IA6EzwPmBg0&ab_channel=TheInfographicsShow,33
17,The Infographics Show,14800000,5394,6278607105,261006,4764,217,2025-01-15 19:11:00,https://www.youtube.com/watch?v=madFr3AQFP4&ab_channel=TheInfographicsShow,40
18,The Infographics Show,14800000,5394,6278607105,195891,3926,302,2025-01-09 21:11:00,https://www.youtube.com/watch?v=h2Gk5vYTBDY&ab_channel=TheInfographicsShow,46
19,The Infographics Show,14800000,5394,6278607105,140987,1679,150,2025-01-04 03:11:00,https://www.youtube.com/watch?v=9jGTMb_JIVc&ab_channel=TheInfographicsShow,51
20,The Infographics Show,14800000,5394,6278607105,185043,3761,168,2025-01-10 19:11:00,https://www.youtube.com/watch?v=5g9kzwsPXF8&ab_channel=TheInfographicsShow,45
21,The Infographics Show,14800000,5394,6278607105,177783,4525,573,2025-01-31 20:11:00,https://www.youtube.com/watch?v=h9vV20Bh4cY&ab_channel=TheInfographicsShow,24
22,The Infographics Show,14800000,5394,6278607105,242992,5636,312,2025-01-30 19:11:00,https://www.youtube.com/watch?v=pB6nlxuytLU&ab_channel=TheInfographicsShow,25
23,The Infographics Show,14800000,5394,6278607105,58578,1696,83,2025-01-30 18:02:16,https://www.youtube.com/watch?v=LTu6JMvWBLQ&ab_channel=TheInfographicsShow,25
24,The Infographics Show,14800000,5394,6278607105,333678,6264,299,2025-01-29 19:11:00,https://www.youtube.com/watch?v=dq2ygaBLI7c&ab_channel=TheInfographicsShow,26
25,AsapSCIENCE,10700000,494,1980788939,97203,6910,460,2025-02-06 16:30:58,https://www.youtube.com/watch?v=wQDWQDWHFx0&ab_channel=AsapSCIENCE,18
