,Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link,time_since_posting,View/Sub
0,The Infographics Show,14900000,5412,6295758679,66045,2525,496,2025-02-11 00:11:00,https://www.youtube.com/watch?v=w2SYMSemBI0&ab_channel=TheInfographicsShow,29,0.00443255033557047
1,The Infographics Show,14900000,5412,6295758679,629416,20117,3153,2025-02-09 15:11:00,https://www.youtube.com/watch?v=beWI6TOjXG4&ab_channel=TheInfographicsShow,31,0.04224268456375839
2,The Infographics Show,14900000,5412,6295758679,50075,546,33,2025-02-09 03:11:00,https://www.youtube.com/watch?v=XVS3vFs7sBU&ab_channel=TheInfographicsShow,31,0.003360738255033557
3,The Infographics Show,14900000,5412,6295758679,84077,2041,220,2025-02-08 15:11:00,https://www.youtube.com/watch?v=p8YmQPzknNg&ab_channel=TheInfographicsShow,32,0.005642751677852349
4,The Infographics Show,14900000,5412,6295758679,265281,7885,1104,2025-02-08 00:37:00,https://www.youtube.com/watch?v=F9EWqjuWlwQ&ab_channel=TheInfographicsShow,32,0.017804093959731544
5,The Infographics Show,14900000,5412,6295758679,397288,8338,813,2025-02-07 19:11:00,https://www.youtube.com/watch?v=hsMEyeGq8rY&ab_channel=TheInfographicsShow,33,0.026663624161073825
6,The Infographics Show,14900000,5412,6295758679,506630,10438,752,2025-02-07 00:11:00,https://www.youtube.com/watch?v=GCGwkgUW2sc&ab_channel=TheInfographicsShow,33,0.03400201342281879
7,The Infographics Show,14900000,5412,6295758679,149159,3320,1096,2025-02-06 19:11:00,https://www.youtube.com/watch?v=SsbZcM0UcZg&ab_channel=TheInfographicsShow,34,0.010010671140939597
8,The Infographics Show,14900000,5412,6295758679,339557,4945,438,2025-02-05 19:11:00,https://www.youtube.com/watch?v=2bdTSw8vico&ab_channel=TheInfographicsShow,35,0.022789060402684563
9,The Infographics Show,14900000,5412,6295758679,1175454,29251,7386,2025-02-05 00:11:00,https://www.youtube.com/watch?v=NoAHi_mzzBQ&ab_channel=TheInfographicsShow,35,0.07888953020134228
10,The Infographics Show,14900000,5412,6295758679,259935,4626,236,2025-02-03 19:11:00,https://www.youtube.com/watch?v=D5PE6k9TOpM&ab_channel=TheInfographicsShow,37,0.017445302013422818
11,The Infographics Show,14900000,5412,6295758679,398198,6219,532,2025-02-02 21:11:00,https://www.youtube.com/watch?v=EsF-_VO62ZE&ab_channel=TheInfographicsShow,38,0.02672469798657718
12,The Infographics Show,14900000,5412,6295758679,66498,1581,270,2025-02-02 15:11:00,https://www.youtube.com/watch?v=LeuSethjniE&ab_channel=TheInfographicsShow,38,0.004462953020134228
13,The Infographics Show,14900000,5412,6295758679,110228,641,46,2025-02-02 03:11:00,https://www.youtube.com/watch?v=RW7fcF1NPHY&ab_channel=TheInfographicsShow,38,0.007397852348993288
14,The Infographics Show,14900000,5412,6295758679,86659,2279,182,2025-02-01 15:11:00,https://www.youtube.com/watch?v=dQKeaIUAJt4&ab_channel=TheInfographicsShow,39,0.005816040268456376
15,The Infographics Show,14900000,5412,6295758679,294116,5426,688,2025-01-25 21:11:00,https://www.youtube.com/watch?v=sQpH29KEuNg&ab_channel=TheInfographicsShow,46,0.019739328859060403
16,The Infographics Show,14900000,5412,6295758679,222453,4369,599,2025-01-22 00:11:00,https://www.youtube.com/watch?v=IA6EzwPmBg0&ab_channel=TheInfographicsShow,49,0.014929731543624161
17,The Infographics Show,14900000,5412,6295758679,263725,4789,219,2025-01-15 19:11:00,https://www.youtube.com/watch?v=madFr3AQFP4&ab_channel=TheInfographicsShow,56,0.0176996644295302
18,The Infographics Show,14900000,5412,6295758679,205309,4145,308,2025-01-09 21:11:00,https://www.youtube.com/watch?v=h2Gk5vYTBDY&ab_channel=TheInfographicsShow,62,0.013779127516778523
19,The Infographics Show,14900000,5412,6295758679,143376,1698,150,2025-01-04 03:11:00,https://www.youtube.com/watch?v=9jGTMb_JIVc&ab_channel=TheInfographicsShow,67,0.00962255033557047
20,The Infographics Show,14900000,5412,6295758679,186735,3782,168,2025-01-10 19:11:00,https://www.youtube.com/watch?v=5g9kzwsPXF8&ab_channel=TheInfographicsShow,61,0.01253255033557047
21,The Infographics Show,14900000,5412,6295758679,180071,4556,574,2025-01-31 20:11:00,https://www.youtube.com/watch?v=h9vV20Bh4cY&ab_channel=TheInfographicsShow,40,0.01208530201342282
22,The Infographics Show,14900000,5412,6295758679,272347,6177,336,2025-01-30 19:11:00,https://www.youtube.com/watch?v=pB6nlxuytLU&ab_channel=TheInfographicsShow,41,0.018278322147651006
23,The Infographics Show,14900000,5412,6295758679,61830,1758,85,2025-01-30 18:02:16,https://www.youtube.com/watch?v=LTu6JMvWBLQ&ab_channel=TheInfographicsShow,41,0.004149664429530201
24,The Infographics Show,14900000,5412,6295758679,357865,6737,314,2025-01-29 19:11:00,https://www.youtube.com/watch?v=dq2ygaBLI7c&ab_channel=TheInfographicsShow,42,0.02401778523489933
25,AsapSCIENCE,10700000,495,1982624545,101116,7041,467,2025-02-06 16:30:58,https://www.youtube.com/watch?v=wQDWQDWHFx0&ab_channel=AsapSCIENCE,34,0.009450093457943926
26,AsapSCIENCE,10700000,495,1982624545,290601,9879,1171,2025-01-29 17:00:22,https://www.youtube.com/watch?v=FAVKyXv9W_4&ab_channel=AsapSCIENCE,42,0.027158971962616824
27,AsapSCIENCE,10700000,495,1982624545,221618,12183,924,2025-01-16 17:00:18,https://www.youtube.com/watch?v=CLGPSuwrtuA&ab_channel=AsapSCIENCE,55,0.02071196261682243
28,National Geographic,24300000,10585,6330642864,33175,1211,56,2025-02-10 16:00:27,https://www.youtube.com/watch?v=JDIAcRSPbnk&ab_channel=NationalGeographic,30,0.0013652263374485597
29,National Geographic,24300000,10585,6330642864,306807,4771,460,2025-02-09 16:00:41,https://www.youtube.com/watch?v=fauq7fm2xIE&ab_channel=NationalGeographic,31,0.012625802469135803
30,National Geographic,24300000,10585,6330642864,538580,4334,310,2025-02-08 16:00:44,https://www.youtube.com/watch?v=jAf4_7jIhls&ab_channel=NationalGeographic,32,0.022163786008230452
31,National Geographic,24300000,10585,6330642864,185285,4486,317,2025-02-06 16:00:12,https://www.youtube.com/watch?v=DWja0NX7jNQ&ab_channel=NationalGeographic,34,0.007624897119341564
32,National Geographic,24300000,10585,6330642864,372616,3606,351,2025-02-02 16:00:32,https://www.youtube.com/watch?v=SztVA7ZF8Kk&ab_channel=NationalGeographic,38,0.015333991769547325
33,National Geographic,24300000,10585,6330642864,1431521,9837,473,2025-02-01 16:00:33,https://www.youtube.com/watch?v=W0gUYsICueI&ab_channel=NationalGeographic,39,0.058910329218106995
34,National Geographic,24300000,10585,6330642864,470996,11096,348,2025-01-30 20:00:16,https://www.youtube.com/watch?v=X_dVQErdQvk&ab_channel=NationalGeographic,41,0.01938255144032922
35,National Geographic,24300000,10585,6330642864,350852,4024,373,2025-01-30 16:00:57,https://www.youtube.com/watch?v=zD_FVxsckb0&ab_channel=NationalGeographic,41,0.01443835390946502
36,National Geographic,24300000,10585,6330642864,425913,6470,1314,2025-01-25 16:00:13,https://www.youtube.com/watch?v=8DMmkp_F25Y&ab_channel=NationalGeographic,46,0.017527283950617284
37,National Geographic,24300000,10585,6330642864,87400,1363,49,2025-01-22 17:59:57,https://www.youtube.com/watch?v=WREUVldK2M8&ab_channel=NationalGeographic,49,0.003596707818930041
38,National Geographic,24300000,10585,6330642864,1750080,10345,671,2025-01-19 16:00:05,https://www.youtube.com/watch?v=4DAuTMsOoKw&ab_channel=NationalGeographic,52,0.07201975308641975
39,National Geographic,24300000,10585,6330642864,158207,2067,104,2025-01-16 16:01:00,https://www.youtube.com/watch?v=o7Esv2MEQLQ&ab_channel=NationalGeographic,55,0.006510576131687242
40,National Geographic,24300000,10585,6330642864,13302,316,13,2025-01-14 23:14:12,https://www.youtube.com/watch?v=VNXcSsqWO-I&ab_channel=NationalGeographic,57,0.0005474074074074074
41,National Geographic,24300000,10585,6330642864,173784,801,26,2025-01-14 15:00:08,https://www.youtube.com/watch?v=342SPkLqeh0&ab_channel=NationalGeographic,57,0.007151604938271605
42,National Geographic,24300000,10585,6330642864,2041878,19701,343,2025-01-11 16:00:14,https://www.youtube.com/watch?v=Dpu3XoY3wQw&ab_channel=NationalGeographic,60,0.0840279012345679
43,National Geographic,24300000,10585,6330642864,551255,6926,470,2025-01-12 16:00:42,https://www.youtube.com/watch?v=nZ5VWmOxZwU&ab_channel=NationalGeographic,59,0.022685390946502057
44,Neso Academy,2840000,2808,664638099,2867,60,3,2025-02-10 13:30:31,https://www.youtube.com/watch?v=ZfDBINXhWXg&ab_channel=NesoAcademy,30,0.0010095070422535212
45,Neso Academy,2840000,2808,664638099,3135,58,3,2025-02-08 13:30:20,https://www.youtube.com/watch?v=bp8DsBI6Oik&ab_channel=NesoAcademy,32,0.0011038732394366196
