Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link
SciShow,8120000,3833,2083520818,82636,5315,247,2025-02-10T18:00:55Z,https://www.youtube.com/watch?v=xOoZb74Ysp8&ab_channel=SciShow
SciShow,8120000,3833,2083520818,138670,9364,885,2025-02-07T18:00:12Z,https://www.youtube.com/watch?v=EJizDf-sqic&ab_channel=SciShow
SciShow,8120000,3833,2083520818,52791,3020,384,2025-02-06T18:00:17Z,https://www.youtube.com/watch?v=Osc2pT32940&ab_channel=SciShow
SciShow,8120000,3833,2083520818,226305,6299,420,2025-02-05T18:00:10Z,https://www.youtube.com/watch?v=8vv23GC-lhs&ab_channel=SciShow
SciShow,8120000,3833,2083520818,170089,10873,906,2025-02-04T18:00:20Z,https://www.youtube.com/watch?v=YYVa7DGXkl4&ab_channel=SciShow
SciShow,8120000,3833,2083520818,172811,8267,395,2025-02-03T18:00:33Z,https://www.youtube.com/watch?v=bGCD0J2IMX8&ab_channel=SciShow
SciShow,8120000,3833,2083520818,104187,6671,337,2025-01-31T18:00:43Z,https://www.youtube.com/watch?v=nKPRwoVjIL4&ab_channel=SciShow
SciShow,8120000,3833,2083520818,187413,9869,1026,2025-01-30T18:00:35Z,https://www.youtube.com/watch?v=gDKW0nldkxs&ab_channel=SciShow
SciShow,8120000,3833,2083520818,124616,6987,791,2025-01-29T18:00:48Z,https://www.youtube.com/watch?v=pjIyR44Da3s&ab_channel=SciShow
SciShow,8120000,3833,2083520818,252777,12348,903,2025-01-28T18:00:21Z,https://www.youtube.com/watch?v=_M7VhhptSrU&ab_channel=SciShow
SciShow,8120000,3833,2083520818,147301,6304,505,2025-01-27T18:00:27Z,https://www.youtube.com/watch?v=YbcI4MBW-aU&ab_channel=SciShow
SciShow,8120000,3833,2083520818,187820,9312,610,2025-01-24T18:00:09Z,https://www.youtube.com/watch?v=6Sgwn4JiUkM&ab_channel=SciShow
SciShow,8120000,3833,2083520818,245259,10419,344,2025-01-23T18:00:55Z,https://www.youtube.com/watch?v=y9sSNQNpILo&ab_channel=SciShow
SciShow,8120000,3833,2083520818,159599,7819,380,2025-01-22T18:00:02Z,https://www.youtube.com/watch?v=0sNYdSg1fL8&ab_channel=SciShow
SciShow,8120000,3833,2083520818,86529,4030,230,2025-01-21T21:45:05Z,https://www.youtube.com/watch?v=guPx59je6eE&ab_channel=SciShow
SciShow,8120000,3833,2083520818,160447,7840,804,2025-01-20T18:00:22Z,https://www.youtube.com/watch?v=K6OYz94o5EE&ab_channel=SciShow
SciShow,8120000,3833,2083520818,143859,7889,535,2025-01-17T18:00:21Z,https://www.youtube.com/watch?v=TSfjnNA1wdo&ab_channel=SciShow
SciShow,8120000,3833,2083520818,189647,10019,637,2025-01-16T18:00:52Z,https://www.youtube.com/watch?v=wfqhKKITC1w&ab_channel=SciShow
SciShow,8120000,3833,2083520818,182708,7799,416,2025-01-15T18:00:08Z,https://www.youtube.com/watch?v=5Htj0cURi2Q&ab_channel=SciShow
SciShow,8120000,3833,2083520818,180313,9433,815,2025-01-14T18:00:30Z,https://www.youtube.com/watch?v=UEuz5ZHABtI&ab_channel=SciShow
SciShow,8120000,3833,2083520818,56414,4794,159,2025-01-13T18:00:29Z,https://www.youtube.com/watch?v=kJT0-6jzAXU&ab_channel=SciShow
Veritasium,17200000,428,3084611720,1744694,95692,4955,2025-02-10T14:03:41Z,https://www.youtube.com/watch?v=P_fHJIYENdI&ab_channel=Veritasium
Veritasium,17200000,428,3084611720,7368726,184832,7236,2025-02-05T15:02:34Z,https://www.youtube.com/watch?v=88bMVbx1dzM&ab_channel=Veritasium
Veritasium,17200000,428,3084611720,8265707,189975,7264,2025-01-28T19:17:22Z,https://www.youtube.com/watch?v=Ni82f1-cAXg&ab_channel=Veritasium
Veritasium,17200000,428,3084611720,4985295,109175,4868,2025-01-21T16:58:06Z,https://www.youtube.com/watch?v=H6q6pYZ9Fho&ab_channel=Veritasium
MinuteEarth,3070000,397,524296491,930257,38528,1728,2025-01-30T19:14:29Z,https://www.youtube.com/watch?v=CHTMZiXeB6A&ab_channel=MinuteEarth
MinuteEarth,3070000,397,524296491,181678,5915,303,2025-01-24T17:10:16Z,https://www.youtube.com/watch?v=OCfvQGj4jVQ&ab_channel=MinuteEarth
SmarterEveryDay,11600000,387,1222941669,1669397,72988,5576,2025-01-31T17:00:05Z,https://www.youtube.com/watch?v=JVROsxtjoCw&ab_channel=SmarterEveryDay
CrashCourse,16200000,1605,2074582762,30471,1868,119,2025-02-06T17:00:43Z,https://www.youtube.com/watch?v=_URf07Rb_EU&ab_channel=CrashCourse
CrashCourse,16200000,1605,2074582762,103974,6387,0,2025-02-04T17:00:09Z,https://www.youtube.com/watch?v=9peemRxUtkE&ab_channel=CrashCourse
CrashCourse,16200000,1605,2074582762,47180,2639,89,2025-01-30T17:01:05Z,https://www.youtube.com/watch?v=t44-uHyzvCw&ab_channel=CrashCourse
CrashCourse,16200000,1605,2074582762,91894,5486,0,2025-01-28T17:00:41Z,https://www.youtube.com/watch?v=Z38LrPadz3Y&ab_channel=CrashCourse
CrashCourse,16200000,1605,2074582762,54246,3079,170,2025-01-23T17:00:58Z,https://www.youtube.com/watch?v=rbSqLQmT2gc&ab_channel=CrashCourse
CrashCourse,16200000,1605,2074582762,83660,4922,57,2025-01-21T19:15:01Z,https://www.youtube.com/watch?v=Y-YbgGYsHig&ab_channel=CrashCourse
CrashCourse,16200000,1605,2074582762,51242,2843,75,2025-01-16T17:01:10Z,https://www.youtube.com/watch?v=z_qBal5qwAY&ab_channel=CrashCourse
CrashCourse,16200000,1605,2074582762,110027,6328,87,2025-01-14T17:00:47Z,https://www.youtube.com/watch?v=flmfrzshA9s&ab_channel=CrashCourse
Khan Academy,8790000,8619,2149402004,4566,172,0,2025-02-05T08:00:48Z,https://www.youtube.com/watch?v=thXilnp5UNQ&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,3780,105,0,2025-02-03T17:58:51Z,https://www.youtube.com/watch?v=NcrsPIv6NdI&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,6018,160,0,2025-01-29T08:00:03Z,https://www.youtube.com/watch?v=36nlbUdRvUM&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,10195,271,0,2025-01-22T08:00:15Z,https://www.youtube.com/watch?v=Jg3Fo4WD8XE&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,9150,197,10,2025-01-17T17:46:30Z,https://www.youtube.com/watch?v=t4ODg51XNYk&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,5672,91,15,2025-01-15T16:23:47Z,https://www.youtube.com/watch?v=kFmtXeKPId4&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,1856,29,0,2025-01-15T13:24:11Z,https://www.youtube.com/watch?v=fS3TOHnUwdw&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,1714,32,0,2025-01-15T13:23:18Z,https://www.youtube.com/watch?v=pq36jdgmuzw&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,3322,59,0,2025-01-15T13:23:15Z,https://www.youtube.com/watch?v=hVlFzfHc3t0&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,1462,30,0,2025-01-15T13:22:44Z,https://www.youtube.com/watch?v=N8P_IjvzGPY&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,4465,115,0,2025-01-15T08:00:28Z,https://www.youtube.com/watch?v=KyBgxe-rU48&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,2778,48,4,2025-01-14T22:38:51Z,https://www.youtube.com/watch?v=ClwmqcEewRc&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,1659,26,0,2025-01-14T22:06:28Z,https://www.youtube.com/watch?v=Oa0u7ZsRhOw&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,1697,40,0,2025-01-14T22:06:24Z,https://www.youtube.com/watch?v=ikw1-ZWf8qw&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,1817,46,0,2025-01-14T22:03:14Z,https://www.youtube.com/watch?v=xUbgRHeCOyY&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,1065,18,0,2025-01-14T21:53:43Z,https://www.youtube.com/watch?v=K-JL39rcJlA&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,1147,20,1,2025-01-14T21:52:43Z,https://www.youtube.com/watch?v=uwjKRjIfxhE&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,1208,20,1,2025-01-14T21:21:52Z,https://www.youtube.com/watch?v=L3eaXsALPAM&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,1296,25,0,2025-01-14T21:10:25Z,https://www.youtube.com/watch?v=BjH-5npLi6s&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,2863,101,5,2025-01-14T21:05:50Z,https://www.youtube.com/watch?v=K_3u0e3XwCQ&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,1784,56,5,2025-01-14T20:37:14Z,https://www.youtube.com/watch?v=_11QgROQ9mY&ab_channel=KhanAcademy
Khan Academy,8790000,8619,2149402004,3118,77,6,2025-01-14T19:43:20Z,https://www.youtube.com/watch?v=JC24Qcpyn9E&ab_channel=KhanAcademy
PBS Eons,3060000,445,711751485,85157,3741,356,2025-02-04T15:00:12Z,https://www.youtube.com/watch?v=CDB0m0hO8qk&ab_channel=PBSEons
PBS Eons,3060000,445,711751485,171648,10195,304,2025-01-28T15:00:30Z,https://www.youtube.com/watch?v=HDNFIfeM1uU&ab_channel=PBSEons
PBS Eons,3060000,445,711751485,107801,4570,697,2025-01-21T15:08:31Z,https://www.youtube.com/watch?v=wiYzLexX8co&ab_channel=PBSEons
PBS Eons,3060000,445,711751485,210135,12169,466,2025-01-14T15:01:14Z,https://www.youtube.com/watch?v=y4ouRg_RbVY&ab_channel=PBSEons
RealLifeLore,7730000,427,1775065732,1376015,31352,6352,2025-01-31T17:45:22Z,https://www.youtube.com/watch?v=x8j2uWw3WfU&ab_channel=RealLifeLore
RealLifeLore,7730000,427,1775065732,1151920,31598,2762,2025-01-25T17:40:41Z,https://www.youtube.com/watch?v=oytfhLUy0Fg&ab_channel=RealLifeLore
RealLifeLore,7730000,427,1775065732,1252219,29014,3431,2025-01-18T18:36:05Z,https://www.youtube.com/watch?v=0o7DCqciH2E&ab_channel=RealLifeLore
