Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link
Invalid video,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Invalid video,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JerryRigEverything,9150000,1311,2350121053,817491,26573,1409,2025-01-28T17:08:54Z,https://www.youtube.com/watch?v=JNF5R11mX-8
JerryRigEverything,9150000,1311,2350121053,515674,20312,1255,2025-01-18T14:47:00Z,https://www.youtube.com/watch?v=vUdrHqmlj7E
JerryRigEverything,9150000,1311,2350121053,324681,12924,860,2025-01-14T20:31:32Z,https://www.youtube.com/watch?v=8OVknjzprAE
JerryRigEverything,9150000,1311,2350121053,532311,18182,1197,2025-01-08T18:33:12Z,https://www.youtube.com/watch?v=W0jcAJlFP-g
ElectroBOOM,8140000,330,1235364939,593435,35050,1448,2025-01-22T17:01:19Z,https://www.youtube.com/watch?v=66Gvth4wHiA
ElectroBOOM,8140000,330,1235364939,801473,43630,2409,2024-12-22T17:00:03Z,https://www.youtube.com/watch?v=NQE6uNrSd-4
Invalid video,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Invalid video,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Computerphile,2500000,837,219451477,93032,3964,671,2025-01-21T16:01:47Z,https://www.youtube.com/watch?v=OKc2hAmMOY4
Computerphile,2500000,837,219451477,41229,1150,75,2025-01-16T20:44:22Z,https://www.youtube.com/watch?v=dZ0SQrr4g8g
Computerphile,2500000,837,219451477,166014,6567,515,2025-01-07T16:00:32Z,https://www.youtube.com/watch?v=PpaQrzoDW2I
PBS Space Time,3210000,408,487546119,719436,81329,12405,2025-01-30T21:15:01Z,https://www.youtube.com/watch?v=GjkqedrTwZo
PBS Space Time,3210000,408,487546119,466571,65431,11879,2025-01-23T21:15:04Z,https://www.youtube.com/watch?v=SXg6YVcdOcA
PBS Space Time,3210000,408,487546119,669634,23356,1883,2025-01-16T21:15:02Z,https://www.youtube.com/watch?v=wh75ubECL8I
PBS Space Time,3210000,408,487546119,505553,17628,1365,2024-12-19T20:29:53Z,https://www.youtube.com/watch?v=KXPhaAsnrfs
Professor Dave Explains,3610000,1684,377790647,2837,135,16,2025-02-10T15:00:41Z,https://www.youtube.com/watch?v=UMi6q3o4Evw
Professor Dave Explains,3610000,1684,377790647,6573,229,60,2025-02-07T15:00:28Z,https://www.youtube.com/watch?v=OFet4FfpBxY
Professor Dave Explains,3610000,1684,377790647,165433,12731,2915,2025-02-06T22:31:56Z,https://www.youtube.com/watch?v=-2mPGg9qo-w
Professor Dave Explains,3610000,1684,377790647,8436,573,72,2025-02-05T15:00:26Z,https://www.youtube.com/watch?v=L7onUpN5CNM
Professor Dave Explains,3610000,1684,377790647,154815,11782,1898,2025-02-04T15:00:02Z,https://www.youtube.com/watch?v=1K8MUh1wA8M
Professor Dave Explains,3610000,1684,377790647,9415,453,71,2025-02-03T15:00:23Z,https://www.youtube.com/watch?v=EpiayTAiD30
Professor Dave Explains,3610000,1684,377790647,435778,23493,7310,2025-02-01T15:00:08Z,https://www.youtube.com/watch?v=4okBkJUlMiI
Professor Dave Explains,3610000,1684,377790647,15476,906,332,2025-01-31T15:01:13Z,https://www.youtube.com/watch?v=pz1ghfuK1sk
Professor Dave Explains,3610000,1684,377790647,10708,416,58,2025-01-29T15:00:42Z,https://www.youtube.com/watch?v=VQcbNOrpjig
Professor Dave Explains,3610000,1684,377790647,3792,151,30,2025-01-27T15:00:09Z,https://www.youtube.com/watch?v=5GHcXUxcRMQ
Professor Dave Explains,3610000,1684,377790647,326290,15755,3211,2025-01-25T15:00:49Z,https://www.youtube.com/watch?v=barCAOnHa3w
Professor Dave Explains,3610000,1684,377790647,7053,296,66,2025-01-24T15:01:18Z,https://www.youtube.com/watch?v=z3Z4Yx42cZs
Professor Dave Explains,3610000,1684,377790647,8598,480,46,2025-01-22T15:00:14Z,https://www.youtube.com/watch?v=DOGKf581Cj8
Professor Dave Explains,3610000,1684,377790647,8895,432,32,2025-01-20T15:00:50Z,https://www.youtube.com/watch?v=ZBPT-_Z_FGA
Professor Dave Explains,3610000,1684,377790647,1668547,55753,18363,2025-01-17T15:00:33Z,https://www.youtube.com/watch?v=JsETzrRr3is
Professor Dave Explains,3610000,1684,377790647,6129,353,62,2025-01-15T15:00:32Z,https://www.youtube.com/watch?v=H8u3bttQPC8
Professor Dave Explains,3610000,1684,377790647,4751,169,32,2025-01-13T15:00:35Z,https://www.youtube.com/watch?v=QyLe8JKa-0A
Stated Clearly,565000,147,48386366,3149,196,23,2025-02-04T20:21:39Z,https://www.youtube.com/watch?v=psVjK5Gg-ho
Physics Explained,238000,26,11500176,24199,1371,201,2025-02-03T20:00:06Z,https://www.youtube.com/watch?v=AjYzhoWHsk8
Physics Explained,238000,26,11500176,213650,8048,465,2025-01-20T21:00:06Z,https://www.youtube.com/watch?v=vjDvBP5IU-4
Physics Explained,238000,26,11500176,87393,3349,259,2025-01-27T20:00:06Z,https://www.youtube.com/watch?v=zvyxArI67vw
Physics Explained,238000,26,11500176,19475,1362,105,2025-01-12T17:59:29Z,https://www.youtube.com/watch?v=hMkUdTQ2amw
Periodic Videos,1620000,729,290600849,46377,3688,262,2025-01-21T13:38:06Z,https://www.youtube.com/watch?v=xNbDe0K-p8w
Periodic Videos,1620000,729,290600849,28022,1147,129,2025-01-06T15:51:27Z,https://www.youtube.com/watch?v=Swq8pmNgUQ4
